AWB,HAWB,Flight_Number,ULD_Number,Origin,Destination,Booking_Date,SHC,Weight_kg,Length_cm,Width_cm,Height_cm,Preferred_ULD,Nature_Of_Goods,PCS,Temp_Required,Priority,Courier_Return,Completed,Consignee_Name
176-22257687,HWB340044,SV790,,DOH,SYD,2026-04-01,PIL,233.63,223,68,132,"RAP,RKN,ALF",Pharma,76,Yes,High,False,True,SKY LOGISTICS
176-34359060,HWB713762,SV546,,AMS,SYD,2026-04-09,DGR,283.53,66,110,342,PMC,Lithium Batteries,12,No,Medium,False,False,LUXURY EXPORTS
176-65250068,HWB827369,SV607,,SIN,FRA,2026-04-11,PER,368.05,122,97,374,"RAP,PMC",Frozen Meat,98,Yes,Low,True,False,GLOBAL FOODS
176-64247457,HWB639593,SV944,,MAA,FRA,2026-04-25,PER,200.96,95,66,232,"RAP,PMC",Milk Products,60,Yes,Medium,True,True,LUXURY EXPORTS
176-16927215,HWB313446,SV373,,FRA,SIN,2026-04-25,BIG,3903.99,233,179,494,PMC,Industrial Equipment,57,No,Low,False,True,QATAR PHARMA
176-51708177,HWB677596,SV114,,FRA,JFK,2026-04-06,BIG,3239.92,82,148,904,PMC,Oversized Machinery,29,No,High,False,True,SKY LOGISTICS
176-46698468,HWB535673,SV954,,LHR,JFK,2026-04-23,DGR,469.69,68,47,566,PMC,Chemicals,59,No,Low,True,False,FAST CARGO
176-19369750,HWB389666,SV891,,DOH,SYD,2026-04-28,AVI,111.48,83,95,684,AKE,Birds,44,No,Low,False,True,EMIRATES MEDICAL
176-75718414,HWB255813,SV557,,FRA,JFK,2026-04-22,MAG,124.64,119,169,97,PMC,Magnetized Equipment,43,No,Low,False,False,LUXURY EXPORTS
176-41348220,HWB997594,SV894,,LHR,DXB,2026-04-13,GEN,981.74,214,46,319,"AKE,PMC",Retail Goods,96,No,Medium,False,False,SKY LOGISTICS
176-89212676,HWB448121,SV990,,MAA,SYD,2026-05-01,DGR,484.17,203,90,58,PMC,Lithium Batteries,13,No,Low,False,True,SKY LOGISTICS
176-73013961,HWB919488,SV371,,SIN,CDG,2026-04-03,PIL,267.73,243,179,67,"RAP,RKN,ALF",Pharma,51,Yes,Low,True,False,SEAFOOD EXPRESS
176-82613940,HWB137642,SV732,,MAA,SIN,2026-04-16,PER,350.72,167,96,283,"RAP,PMC",Milk Products,88,Yes,Medium,True,True,SEAFOOD EXPRESS
176-69549527,HWB274446,SV810,,SIN,DXB,2026-04-04,GEN,772.35,174,111,380,"AKE,PMC",General Cargo,42,No,High,False,False,LUXURY EXPORTS
176-34166826,HWB278240,SV279,,MAA,CDG,2026-04-19,PIL,86.39,61,80,375,"RAP,RKN,ALF",Vaccines,80,Yes,Low,True,False,SKY LOGISTICS
176-99501846,HWB109853,SV923,,LHR,LHR,2026-04-09,GEN,488.09,238,148,93,"AKE,PMC",Textiles,70,No,High,True,False,LUXURY EXPORTS
176-43567615,HWB579027,SV965,,SIN,SIN,2026-04-23,AVI,73.85,147,111,356,AKE,Birds,62,No,High,True,False,LUXURY EXPORTS
176-98346110,HWB515032,SV381,,MAA,CDG,2026-04-01,AVI,73.26,99,95,478,AKE,Pets,100,No,Low,True,False,EMIRATES MEDICAL
176-39394291,HWB767542,SV294,,FRA,LHR,2026-04-12,HEA,219.83,146,66,333,"PMC,PAG",Human Remains,81,No,High,True,False,WORLD FREIGHT
176-49609054,HWB442589,SV865,,LHR,SIN,2026-04-03,GEN,600.6,83,137,667,"AKE,PMC",General Cargo,17,No,Low,False,False,SKY LOGISTICS
176-49613214,HWB882824,SV991,,SIN,SYD,2026-05-01,GEN,918.35,84,131,863,"AKE,PMC",General Cargo,60,No,High,True,True,SEAFOOD EXPRESS
176-45495029,HWB662636,SV226,,LHR,LHR,2026-04-01,VAL,18.92,148,107,26,AKE,Luxury Watches,96,No,Low,False,False,LUXURY EXPORTS
176-85350823,HWB443939,SV724,,DXB,FRA,2026-04-20,GEN,691.09,71,157,470,"AKE,PMC",General Cargo,82,No,Medium,False,False,GLOBAL FOODS
176-25585427,HWB201913,SV340,,FRA,SIN,2026-04-16,GEN,93.08,197,71,95,"AKE,PMC",Retail Goods,59,No,Medium,False,True,SEAFOOD EXPRESS
176-47546086,HWB134305,SV806,,SIN,SIN,2026-04-14,BIG,945.6,156,60,1840,PMC,Industrial Equipment,57,No,High,False,True,LUXURY EXPORTS
176-63437398,HWB389282,SV294,,MAA,SYD,2026-04-02,VAL,45.18,201,115,20,AKE,Jewelry,12,No,Low,True,True,QATAR PHARMA
176-37542226,HWB171942,SV949,,DOH,CDG,2026-04-19,PER,197.43,220,132,51,"RAP,PMC",Food Items,76,Yes,High,True,False,SKY LOGISTICS
176-27447248,HWB666456,SV356,,DOH,SIN,2026-04-05,AVI,20.51,207,89,287,AKE,Dogs,85,No,High,True,True,LUXURY EXPORTS
176-17032877,HWB232915,SV859,,LHR,CDG,2026-04-09,GEN,609.41,240,57,83,"AKE,PMC",General Cargo,96,No,High,False,False,LUXURY EXPORTS
176-92558242,HWB145471,SV844,,DOH,SYD,2026-04-08,DGR,317.15,71,98,363,PMC,Lithium Batteries,59,No,Low,True,True,WORLD FREIGHT
176-69533928,HWB177060,SV182,,SIN,CDG,2026-04-23,PIL,156.57,134,60,95,"RAP,RKN,ALF",Medicines,9,Yes,High,False,False,SEAFOOD EXPRESS
176-67740376,HWB203996,SV912,,AMS,DXB,2026-04-20,AVI,115.5,119,65,422,AKE,Pets,84,No,Low,True,False,WORLD FREIGHT
176-65833185,HWB865054,SV197,,SIN,JFK,2026-04-13,GEN,443.12,157,111,484,"AKE,PMC",Retail Goods,86,No,Medium,False,True,WORLD FREIGHT
176-22960658,HWB880758,SV856,,SIN,SYD,2026-04-14,GEN,136.66,176,133,75,"AKE,PMC",General Cargo,72,No,High,False,True,SEAFOOD EXPRESS
176-16904975,HWB401601,SV714,,SIN,LHR,2026-04-14,PER,449.44,101,134,351,"RAP,PMC",Food Items,74,Yes,Low,True,True,WORLD FREIGHT
176-59333209,HWB220465,SV880,,SIN,CDG,2026-04-18,GEN,854.91,150,93,297,"AKE,PMC",General Cargo,55,No,Low,True,False,QATAR PHARMA
176-55610493,HWB468074,SV106,,DXB,SYD,2026-04-30,GEN,309.61,231,108,315,"AKE,PMC",General Cargo,73,No,Low,False,True,SKY LOGISTICS
176-81200181,HWB325583,SV485,,LHR,JFK,2026-04-24,EAT,479.9,239,58,85,"PMC,RAP",Snacks,21,No,Medium,False,False,GLOBAL FOODS
176-20949687,HWB385320,SV553,,AMS,JFK,2026-04-02,GEN,197.8,215,83,436,"AKE,PMC",Retail Goods,78,No,Medium,False,False,FAST CARGO
176-48016697,HWB811163,SV794,,FRA,JFK,2026-04-04,EAT,407.41,196,102,153,"PMC,RAP",Dry Foods,86,No,Medium,True,True,SEAFOOD EXPRESS
176-38351344,HWB904624,SV240,,DOH,LHR,2026-05-01,AVI,29.86,101,158,126,AKE,Birds,42,No,High,True,False,SEAFOOD EXPRESS
176-77144075,HWB685864,SV953,,AMS,SYD,2026-04-08,GEN,172.73,157,109,338,"AKE,PMC",Retail Goods,10,No,Medium,True,False,QATAR PHARMA
176-67617561,HWB701253,SV514,,AMS,FRA,2026-04-19,PIL,280.29,223,96,124,"RAP,RKN,ALF",Vaccines,38,Yes,High,False,True,LUXURY EXPORTS
176-58567046,HWB192410,SV547,,DOH,DXB,2026-04-27,GEN,811.26,235,123,226,"AKE,PMC",General Cargo,56,No,Low,False,True,SEAFOOD EXPRESS
176-32566390,HWB180089,SV622,,AMS,DXB,2026-04-25,PER,398.32,74,98,260,"RAP,PMC",Milk Products,66,Yes,High,False,False,SKY LOGISTICS
176-90852623,HWB260295,SV878,,DOH,FRA,2026-04-06,GEN,147.66,68,120,404,"AKE,PMC",General Cargo,23,No,Low,False,False,WORLD FREIGHT
176-93821894,HWB438908,SV984,,AMS,LHR,2026-04-21,COL,377.25,162,108,153,"RAP,RKN",Cool Cargo,57,Yes,High,False,False,EMIRATES MEDICAL
176-51662236,HWB584172,SV562,,MAA,DXB,2026-04-03,PER,336.57,76,94,337,"RAP,PMC",Frozen Meat,37,Yes,High,True,False,WORLD FREIGHT
176-15505975,HWB571579,SV929,,FRA,FRA,2026-04-29,AVI,119.78,205,120,201,AKE,Dogs,42,No,Low,False,True,QATAR PHARMA
176-21318464,HWB629057,SV761,,DXB,DXB,2026-04-11,PIL,75.88,114,167,144,"RAP,RKN,ALF",Medicines,91,Yes,Medium,False,True,LUXURY EXPORTS
176-55414869,HWB811875,SV712,,MAA,SYD,2026-04-25,PER,467.17,161,157,100,"RAP,PMC",Milk Products,83,Yes,Medium,True,False,GLOBAL FOODS
176-98122539,HWB731977,SV994,,DXB,LHR,2026-04-24,VAL,34.24,96,107,20,AKE,Gold,75,No,Low,True,False,EMIRATES MEDICAL
176-21370793,HWB424620,SV672,,LHR,FRA,2026-04-20,BIG,3643.16,95,103,1512,PMC,Industrial Equipment,17,No,Low,True,False,LUXURY EXPORTS
176-55866538,HWB903373,SV597,,DXB,SIN,2026-04-07,GEN,394.47,250,177,59,"AKE,PMC",General Cargo,20,No,High,False,True,QATAR PHARMA
176-90161060,HWB495019,SV257,,DXB,SIN,2026-04-05,BIG,2015.44,127,149,1276,PMC,Oversized Machinery,93,No,Medium,True,False,LUXURY EXPORTS
176-48242379,HWB888939,SV866,,DOH,JFK,2026-04-20,COL,315.88,209,142,131,"RAP,RKN",Cool Cargo,69,Yes,High,False,False,FAST CARGO
176-71965637,HWB906814,SV388,,DOH,JFK,2026-04-15,PER,371.32,152,96,224,"RAP,PMC",Milk Products,68,Yes,Medium,True,True,SKY LOGISTICS
176-84429198,HWB207573,SV828,,DOH,CDG,2026-04-12,GEN,99.57,95,170,330,"AKE,PMC",General Cargo,37,No,High,True,False,WORLD FREIGHT
176-39801436,HWB956375,SV561,,SIN,DXB,2026-05-01,DGR,116.31,186,63,210,PMC,Lithium Batteries,7,No,Medium,False,True,SEAFOOD EXPRESS
176-23298711,HWB979940,SV831,,AMS,LHR,2026-04-30,GEN,406.17,72,68,255,"AKE,PMC",General Cargo,18,No,High,False,False,SKY LOGISTICS
176-20633503,HWB119927,SV362,,DXB,SYD,2026-04-01,EAT,523.32,99,80,465,"PMC,RAP",Packed Food,71,No,Low,False,True,EMIRATES MEDICAL
176-95758649,HWB932463,SV737,,LHR,DXB,2026-04-14,GEN,336.09,234,148,41,"AKE,PMC",General Cargo,64,No,Low,True,True,SKY LOGISTICS
176-86593187,HWB536802,SV291,,AMS,FRA,2026-04-08,PER,271.7,212,56,291,"RAP,PMC",Food Items,68,Yes,Medium,True,True,SEAFOOD EXPRESS
176-44044361,HWB883618,SV116,,SIN,SYD,2026-04-12,DGR,69.59,158,137,103,PMC,Chemicals,45,No,High,True,False,SKY LOGISTICS
176-33500064,HWB970720,SV897,,AMS,JFK,2026-04-21,GEN,384.68,212,159,120,"AKE,PMC",Textiles,62,No,Low,True,True,GLOBAL FOODS
176-37057085,HWB145934,SV910,,DXB,DXB,2026-04-10,MAG,244.05,195,104,80,PMC,Magnetized Equipment,40,No,Low,False,False,EMIRATES MEDICAL
176-16416148,HWB787584,SV439,,SIN,DXB,2026-04-12,GEN,765.63,201,42,322,"AKE,PMC",Retail Goods,56,No,Medium,False,False,LUXURY EXPORTS
176-79696025,HWB379676,SV920,,MAA,FRA,2026-04-30,GEN,521.39,234,69,339,"AKE,PMC",Retail Goods,11,No,Medium,True,False,LUXURY EXPORTS
176-69849800,HWB731894,SV834,,LHR,SIN,2026-04-10,GEN,126.07,234,177,167,"AKE,PMC",Textiles,57,No,Medium,False,True,LUXURY EXPORTS
